name,address,england
Southport and Ormskirk NHS Trust,"Staff Health and Wellbeing Department, Ormskirk District General Hospital, Wigan Road, Ormskirk, L39 2AZ",1
Barnsley Hospital NHS Foundation Trust,"Occupational Health and Wellbeing Service, Block 9, Barnsley District General Hospital, Gawber Road, Barnsley, S75 2EP",1
Warrington and Halton Hospitals NHS Foundation Trust,"Staff Health and Wellbeing Service, Warrington Hospital, Lovely Lane, Warrington, WA5 1QG",1
Heart of England NHS Foundation Trust,"Occupational Health and Wellbeing Service, Stratford House, Birmingham Heartlands Hospital, Bordesley Green East, Birmingham, B9 5SS",1
Dorset Healthcare University NHS Foundation Trust,"Occupational Health and Wellbeing, Ansbury House Annex, Pendruffle Lane, Poundbury, Dorchester, DT1 3WJ",1
Royal United Hospitals Bath NHS Foundation trust,"Occupational Health, Bernard Ireland House, Royal United Hospital, Combe Park, Bath, BA1 3NG",1
Walsall Healthcare NHS Trust,"Occupational Health and Wellbeing Service, 145A Pleck Road, Walsall, WS2 9ES",1
Sandwell & West Birmingham Hospitals NHS Trust,"Occupational Health and Wellbeing Service, Courtyard Gardens, Sandwell General Hospital, Lyndon, West Bromwich, B71 4HJ",1
Barts Health NHS Trust,"Occupational Health Department, 31-43 Ashfield Street, London, E1 2AH",1
Brighton and Sussex University Hospitals NHS Trust,"Occupational Health Services, Art Block, St Mary's Site, Royal Sussex County Hospital, Eastern Road, Brighton, BN2 5BE",1
Calderdale and Huddersfield NHS Foundation Trust,"Occupational Health Department, Calderdale Royal Hospital, Salterhebble, Halifax, HX3 0PW",1
Cheshire and Wirral Partnership NHS Foundation Trust,"Workforce Wellbeing Service, Redesmere Trust HQ, Liverpool Road, Chester, CH2 1BQ",1
Countess of Chester Hospital NHS Foundation Trust,"Occupational Health and Wellbeing, Wellbeing Centre, Moston Lodge, Countess of Chester Health Park, Liverpool Road, Chester, CH2 1UL",1
City Hospitals Sunderland NHS Foundation Trust,"Occupational Health and Wellbeing, Sunderland Royal Hospital, Kayll Road, Sunderland, SR4 7TP",1
East Lancashire Hospitals NHS Trust,"Occupational Health and Wellbeing Services, Royal Blackburn Hospital, Park View Offices, Level 1, Haslingden Road, Blackburn, BB2 3HH",1
Norfolk and Norwich University Hospital NHS Foundation Trust,"Workplace Health and Wellbeing, Level 1, 20 Rouen Road, Norwich, NR1 1QQ",1
Manchester University NHS Foundation Trust,"Employee Health and Wellbeing Service, Baguley House, Wythenshawe Hospital, Southmoor Road, Manchester, M23 9LT",1
University Hospital Southampton NHS Foundation Trust,"Occupational Health, Block 4, Southampton General Hospital, Tremona Road, Southampton, SO16 6YD",1
ACI Training and Consultancy Ltd,,
AWL Occupational Health Ltd,,
AXA ICAS (also trading as AXA HASL and AXA Health Services Limited),,
Abbott Healthcare Connections,,
Abbott Healthcare Connections Limited - London,,
Acorn Occupational Health Ltd,,
An Post Occupational Health & Support,,
Arumas Health Services,,
BHSF OH Ltd,,
Birmingham City Council,,
British Airways Health Services,,
British Gypsum,,
Building Health Ltd,,
Business and Health Consultancy,,
COPE Occupational Health and Ergonomic Services Ltd,,
CTC Healthcare,,
Caer Health Services Ltd,,
Cheshire Occupational Health Service,,
Civil Service Occupational Health Department,,
Clarity Occupational Health Ltd (formerly Clarity Healthcare Ltd),,
Connect Health (formerly known as Connect Physical Health Centres Ltd),,
Cordell Health,,
Coventry City Council,,
Diageo Occupational Health Service,,
Drayton Medical Services,,
Durham County Council Occupational Health Service,,
"EDF Energy, Nuclear Generation",,
Elite Executives LTD,,
Express Medicals Ltd,,
Fleet Street Clinic,,
Flex Occupational Health Limited,,
Fusion OH Ltd,,
GO Health Services,,
Gatwick Airport Limited,,
GlaxoSmithKline,,
Global Occupational Health Solutions,,
HCA Primary Care,,
Heales Medical Partnership LLP,,
Health Assured,,
Health Management Ltd,,
Health Partners (OH) Limited (formerly Duradiamond Healthcare Ltd),,
Healthier Business UK Ltd (Accredited as a new starter screening service only),,
Healthwork LTD,,
Heathrow Medical Services,,
INTERNATIONAL SOS (MEDICAL SERVICES) UK LIMITED,,
Industrial Diagnostics Company Ltd,,
Innovate Healthcare,,
Insight Health Screening Ltd,,
Insync Corporate Healthcare Ltd,,
Integral OH,,
International Medical Management Inc Ltd,,
JC Bamford Excavators Ltd,,
Jaguar Land Rover Limited,,
K2 Associates UK Ltd,,
KML Occupational Health,,
Kays Medical Ltd,,
London Borough of Barking and Dagenham Occupational Health Service,,
MOHS Workplace Health Limited,,
Maitland Medical Service Limited,,
Mars Occupational Health Services UK,,
Medacs Healthcare,,
Medicals Plus Ltd,,
Medigold Health Consultancy,,
Medwise Ltd,,
Medwyn Occupational Health (Medwyn Surgery Dr Monella and Partners),,
Neptune Health Ltd,,
Nestle UK and Ireland,,
Northern Lincolnshire and Goole Occupational Health Service,,
OH Occupational Health and Wellbeing,,
OH Works Ltd,,
OH3 Ltd,,
Occupational Health Consultancy Ltd,,
Occupational Health Partnership Ltd,,
"Occupational Health, Risk and Disability Consultancy - OHRD",,
Occupational health 1st,,
PRISM OH LTD,,
Park Health & Safety Partnership LLP,,
Pegasus Occupational Health Ltd,,
People Asset Management,,
Peritus Health Management,,
RPS,,
Roxton Occupational Health Limited,,
"Salus Occupational Health, Safety & Return to Work Services",,
Sandwell and West Birmingham Hospital,,
Sarsen Health,,
Sellafield Ltd Occupational Health Department,,
Shell Health,,
Spirit Occupational Health Service Ltd,,
St George's Hospital,,
Staywell Occupational Health Ltd,,
Sugarman Health & Wellbeing,,
Sun Rehabilitation,,
Surrey and Sussex Police Surrey Fire and Rescue & East Sussex Fire and Rescue,,
TP Health,,
The OHC Limited,,
Transport for London,,
UCL Workplace Health (formerly UCL Occupational Health & Wellbeing),,
UK Independent Medicals Limited  - Occupational Health & Wellbeing,,
UK Screening Solutions Limited,,
United Kingdom Health Security Agency,,
Unity Occupational Health and Wellbeing Limited,,
Vhi Corporate Solutions,,
Vita Health Group (formerly Rehab Works Ltd)  (Physio),,
VolkerWessels UK,,
Walkers Snack Foods Ltd,,
Washington House Occupational Health,,
Whittington Health OH and Well Being Service,,
Workare Ltd,,
Workers Health Ltd,,
Working on Wellbeing LTD (trading as Optima Health),,
Anglia OH,,
Ascenti Health,,
Asclepius OHS Ltd,,
Ashlands Occupational Health Ltd,,
Assured Occupational Health,,
Back in Action UK,,
Bedford Occupational Health and Well Being Centre,,
Black and Banton Occupational and Physical Health Services,,
Blackpool Council Occupational Health Service,,
Choose Occupational Health,,
Co-Health,,
ContourMC Ltd Occupational Health,,
Corazon Health Ltd,,
DCHC,,
DPHC - ROHT Portsmouth,,
DPHC ROMD Brize Norton,,
DPHC – ROHT Tidworth,,
East Coast Medicals,,
East Midland Railway (formerly known as East Midland Trains),,
Elite Occupational Health,,
Employment Health Advisors (Limerick) Limited,,
ExeMed Occupational Health Ltd,,
FitBack Physiotherapy,,
Flintshire County Council,,
Gloucestershire County Council Occupational Health,,
Health 2 Employment Ltd (H2E),,
Health Assured,,
Healthier Workforce Ltd,,
Healthscope UK Ltd,,
Healthscreen UK,,
Hive Occupational Health and Wellness Limited,,
IPRS Health,,
Iatroregenesis LTD,,
Independent Occupational Health Ltd,,
Innovative Occupational Health,,
Island Occupational Health,,
KOH Consulting,,
Kernow Occupational Health,,
Latus Health Ltd,,
Leeds & South West Yorkshire OHS,,
MCL Medics,,
MERT International Limited,,
MS Associates - O H Consultancy,,
Managed Occupational Health,,
Med/Event,,
Mediright Corporate Healthcare Ltd,,
Mendip Vale Occupational Health and Wellbeing,,
Metro Physio,,
Newcastle Premier Health Ltd,,
North Yorkshire County Council Occupational Health and Wellbeing Services,,
OH Services Ltd,,
OccDoc,,
OccWellbeing,,
Occupational Health Department (HSE West),,
Occupational Health Services Ltd,,
Occupational Health and Training Services,,
Occupational Health and Wellbeing Limited,,
PeopleFirst Occupational Health Ltd,,
Phoenix Occupational Health,,
Platinum Occupational Health Ltd,,
Polbridge Health Ltd,,
Portview Fit Out,,
Premier Physical Therapy,,
Pro-Active Wellbeing Ltd,,
Pure Physiotherapy,,
Quantum Health Consulting,,
RAF Medical Boards,,
"Royal United Occupational Health, Bath",,
Screen 4,,
Smart Clinic,,
Solutions 4Health,,
South Gloucestershire Occupational Health,,
South Yorkshire Police Occupational Health Service,,
Staff Health & Wellbeing,,
Stemax Consult Healthcare Services Limited,,
TAC Healthcare Group Ltd,,
TECHNO CONSTRUCTION TRAINING AND ASSESSMENT LIMITED,,
Templar Medical Ltd,,
The Better Health Generation UK,,
Thurrock Council Occupational Health Service,,
TunnelMed Services Ltd,,
Universal Medical Centre Ltd,,
University College London Hospital,,
University of Birmingham - Wellbeing Services,,
WHS (Workplace Health (and Safety) Service,,
Warwick University Occupational Health Department,,
Wellness International Limited,,
West Midlands Fire Service,,
WorkHealth Jersey,,
Workforce Wellbeing Ltd,,
Workplace Wellness,,
Wrightway Health,,
Zosh Occupational Health Limited,,
